#theta_min, theat_max, theta_mid [radian]
 7.27221e-05   0.00022741  0.000150066 
  0.00022741  0.000382098  0.000304754 
 0.000382098  0.000536786  0.000459442 
 0.000536786  0.000691474   0.00061413 
 0.000691474  0.000846161  0.000768818 
 0.000846161   0.00100085  0.000923505 
  0.00100085   0.00115554   0.00107819 
  0.00115554   0.00131023   0.00123288 
  0.00131023   0.00146491   0.00138757 
  0.00146491    0.0016196   0.00154226 
   0.0016196   0.00177429   0.00169694 
  0.00177429   0.00192898   0.00185163 
  0.00192898   0.00208366   0.00200632 
  0.00208366   0.00223835   0.00216101 
  0.00223835   0.00239304    0.0023157 
